PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr1_r_c900[k=39][m=9]_GGACA,chr1,55316370,55316370,-,9,NA,"3' UTR (NM_014762, exon 9 of 9)","3' UTR (NM_014762, exon 9 of 9)",-36551,NM_014762,1718,Hs.498727,XM_005270553,ENSG00000116133,DHCR24,DCE|Nbla03646|SELADIN1|seladin-1,24-dehydrocholesterol reductase,protein-coding
B045_1-4_chr15_r_c638[k=18][m=9]_TCACC,chr15,99497277,99497277,-,9,NA,"intron (NM_000875, intron 20 of 20)","intron (NM_000875, intron 20 of 20)",-51608,NM_001102612,145814,Hs.592021,NM_001102612,ENSG00000183571,PGPEP1L,0,pyroglutamyl-peptidase I-like,protein-coding
B045_1-4_chr19_r_c290[k=37][m=9]_GGACA,chr19,3978037,3978037,-,9,NA,"exon (NM_001961, exon 12 of 15)","exon (NM_001961, exon 12 of 15)",-4533,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chr18_f_c299[k=120][m=9]_GGACT,chr18,57570011,57570011,+,9,NA,"3' UTR (NM_021127, exon 2 of 2)","3' UTR (NM_021127, exon 2 of 2)",2819,NM_021127,5366,Hs.96,XM_005266710,ENSG00000141682,PMAIP1,APR|NOXA,phorbol-12-myristate-13-acetate-induced protein 1,protein-coding
B045_1-4_chr19_f_c1418[k=31][m=9]_AAACC,chr19,58906141,58906141,+,9,NA,TTS (NM_001009),TTS (NM_001009),-1316,NM_001195135,646862,Hs.728121,NM_001195135,ENSG00000269855,LOC646862,0,uncharacterized LOC646862,protein-coding
B045_1-4_chr1_r_c949[k=46][m=9]_GAACT,chr1,59247871,59247871,-,9,NA,"exon (NM_002228, exon 1 of 1)","exon (NM_002228, exon 1 of 1)",-1914,NM_002228,3725,Hs.696684,NM_002228,ENSG00000177606,JUN,AP-1|AP1|c-Jun,jun proto-oncogene,protein-coding
B045_1-4_chr1_r_c1603[k=39][m=9]_AGACA,chr1,153634791,153634791,-,9,NA,TTS (NR_052020),TTS (NR_052020),-3661,NR_052020,23557,Hs.32018,NM_012437,ENSG00000143553,SNAPIN,BLOC1S7|BLOS7|SNAPAP,SNAP-associated protein,protein-coding
B045_1-4_chr8_f_c560[k=52][m=9]_GAACG,chr8,98737140,98737140,+,9,NA,"3' UTR (NM_178812, exon 12 of 12)","3' UTR (NM_178812, exon 12 of 12)",-50669,NM_018407,55353,Hs.492314,NM_018407,LAPTM4B,LAPTM4beta|LC27,lysosomal protein transmembrane 4 beta,protein-coding,
B045_1-4_chr16_r_c80[k=28][m=8]_GAACC,chr16,1822282,1822282,-,8,NA,promoter-TSS (NM_002513),promoter-TSS (NM_002513),572,NM_002513,4832,Hs.514065,XM_005255332,ENSG00000103024,NME3,DR-nm23|NDPK-C|NDPKC|NM23-H3|NM23H3|c371H6.2,NME/NM23 nucleoside diphosphate kinase 3,protein-coding
B045_1-4_chr22_f_c382[k=23][m=8]_GGACA,chr22,39080248,39080248,+,8,NA,"3' UTR (NM_020243, exon 4 of 4)","3' UTR (NM_020243, exon 4 of 4)",2294,NM_020243,56993,Hs.595072,NM_020243,ENSG00000100216,TOMM22,1C9-2|MST065|MSTP065|TOM22,translocase of outer mitochondrial membrane 22 homolog (yeast),protein-coding
B045_1-4_chr5_f_c886[k=23][m=8]_GGACA,chr5,145890691,145890691,+,8,NA,"3' UTR (NM_006706, exon 22 of 22)","3' UTR (NM_006706, exon 22 of 22)",4985,NM_194251,134391,Hs.483732,NM_194251,GPR151,GALR4|GALRL|GPCR|PGR7,G protein-coupled receptor 151,protein-coding,
B045_1-4_chr19_f_c1193[k=35][m=8]_GGACA,chr19,50002899,50002899,+,8,NA,TTS (NM_001015),TTS (NM_001015),1226,NR_029703,406942,NR_029703,ENSG00000207782,MIR150,MIRN150|miRNA150,microRNA 150,ncRNA,
B045_1-4_chr2_f_c1164[k=27][m=8]_GGACT,chr2,176974053,176974053,+,8,NA,"3' UTR (NM_021192, exon 2 of 2)","3' UTR (NM_021192, exon 2 of 2)",1969,NM_021192,3237,Hs.421136,XR_241309,HOXD11,HOX4|HOX4F,homeobox D11,protein-coding,
B045_1-4_chr7_r_c906[k=17][m=8]_GGACA,chr7,132470184,132470184,-,8,NA,"3' UTR (NM_017812, exon 8 of 8)","3' UTR (NM_017812, exon 8 of 8)",-136631,NR_046323,286023,Hs.671875,XR_242230,ENSG00000183470,FLJ40288,0,uncharacterized FLJ40288,ncRNA
B045_1-4_chrM_f_c72[k=461][m=8]_TCACA,chrM,2260,2260,+,8,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr11_f_c690[k=29][m=8]_GGACT,chr11,65658508,65658508,+,8,NA,"exon (NM_006848, exon 1 of 1)","exon (NM_006848, exon 1 of 1)",633,NM_006848,11007,Hs.66713,NM_006848,ENSG00000175602,CCDC85B,DIPA,coiled-coil domain containing 85B,protein-coding
B045_1-4_chr19_f_c1352[k=46][m=8]_GGACT,chr19,56185424,56185424,+,8,NA,"exon (NM_007279, exon 12 of 12)","exon (NM_007279, exon 12 of 12)",-1137,NM_013333,29924,Hs.279953,XM_005258829,ENSG00000063245,EPN1,0,epsin 1,protein-coding
B045_1-4_chr2_f_c604[k=27][m=8]_GGACT,chr2,85133714,85133714,+,8,NA,TTS (NM_021103),TTS (NM_021103),951,NM_021103,9168,Hs.446574,NM_021103,ENSG00000034510,TMSB10,MIG12|TB10,thymosin beta 10,protein-coding
B045_1-4_chr19_r_c249[k=110][m=8]_GGACT,chr19,3976326,3976326,-,8,NA,"3' UTR (NM_001961, exon 15 of 15)","3' UTR (NM_001961, exon 15 of 15)",-6244,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chr3_f_c1325[k=52][m=8]_GGACT,chr3,184052760,184052760,+,8,NA,promoter-TSS (NM_001171093),promoter-TSS (NM_001171093),-957,NM_001171093,131408,Hs.591307,XM_005247112,ENSG00000175182,FAM131A,C3orf40|FLAT715|PRO1378,"family with sequence similarity 131, member A",protein-coding
B045_1-4_chrX_r_c365[k=37][m=8]_GAACT,chrX,73041152,73041152,-,8,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-29112,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chr19_r_c743[k=50][m=8]_GGACT,chr19,18417883,18417883,-,8,NA,"3' UTR (NM_012321, exon 5 of 5)","3' UTR (NM_012321, exon 5 of 5)",-16118,NM_012321,25804,Hs.515255,NM_001252129,ENSG00000130520,LSM4,GRP|YER112W,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)",protein-coding
B045_1-4_chr20_f_c477[k=16][m=8]_GGACA,chr20,47713276,47713276,+,8,NA,"non-coding (NR_045796, exon 22 of 22)","non-coding (NR_045796, exon 22 of 22)",50493,NR_045796,1434,Hs.90073,XM_005260296,ENSG00000124207,CSE1L,CAS|CSE1|XPO2,CSE1 chromosome segregation 1-like (yeast),protein-coding
B045_1-4_chr2_r_c374[k=34][m=8]_GGACT,chr2,55199505,55199505,-,8,NA,TTS (NM_001039753),TTS (NM_001039753),-37965,NM_007008,57142,Hs.637850,XM_005264434,ENSG00000115310,RTN4,ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C,reticulon 4,protein-coding
B045_1-4_chrX_r_c416[k=115][m=8]_AGACT,chrX,73046902,73046902,-,8,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25686,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr2_f_c1401[k=24][m=8]_AGACT,chr2,217055023,217055023,+,8,NA,"exon (NM_021141, exon 17 of 21)","exon (NM_021141, exon 17 of 21)",-26589,NR_037701,150967,Hs.56876,NM_001199924,ENSG00000260804,PKI55,0,DKFZp434H1419,ncRNA
B045_1-4_chr5_r_c609[k=36][m=8]_AGACT,chr5,133533178,133533178,-,8,NA,"3' UTR (NM_002715, exon 7 of 7)","3' UTR (NM_002715, exon 7 of 7)",20454,NM_170679,6500,Hs.171626,XM_005272053,SKP1,EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A,S-phase kinase-associated protein 1,protein-coding,
B045_1-4_chr19_r_c283[k=29][m=8]_GGACA,chr19,3977854,3977854,-,8,NA,"exon (NM_001961, exon 12 of 15)","exon (NM_001961, exon 12 of 15)",-4716,NR_002602,26812,NR_002602,SNORD37,RNU37|U37,"small nucleolar RNA, C/D box 37",snoRNA,,
B045_1-4_chrM_f_c100[k=364][m=8]_ACACA,chrM,2434,2434,+,8,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr11_r_c188[k=18][m=8]_GGACT,chr11,10821254,10821254,-,8,NA,"exon (NM_001172705, exon 19 of 22)","exon (NM_001172705, exon 19 of 22)",-1901,NR_004403,692223,Hs.723086,NR_004403,SNORD97,U97,"small nucleolar RNA, C/D box 97",snoRNA,
B045_1-4_chr6_f_c426[k=22][m=8]_GGACA,chr6,32948679,32948679,+,8,NA,"non-coding (NR_037625, exon 14 of 14).2","non-coding (NR_037625, exon 14 of 14).2",7818,NM_001199456,6046,Hs.75243,XM_005249263,ENSG00000204256,BRD2,D6S113E|FSH|FSRG1|NAT|RING3|RNF3,bromodomain containing 2,protein-coding
B045_1-4_chr19_f_c29[k=25][m=8]_GGACT,chr19,583239,583239,+,8,NA,"3' UTR (NM_198590, exon 8 of 8)","3' UTR (NM_198590, exon 8 of 8)",-6654,NM_001194,610,Hs.124161,NM_001194,ENSG00000099822,HCN2,BCNG-2|BCNG2|HAC-1,hyperpolarization activated cyclic nucleotide-gated potassium channel 2,protein-coding
B045_1-4_chr22_r_c462[k=23][m=8]_TGACT,chr22,41166759,41166759,-,8,NA,"non-coding (NR_104237, exon 8 of 8)","non-coding (NR_104237, exon 8 of 8)",-43203,NR_039923,100616283,NR_039923,MIR4766,0,microRNA 4766,ncRNA,,
B045_1-4_chr1_f_c495[k=22][m=8]_TGACT,chr1,29069993,29069993,+,8,NA,"exon (NM_001173128, exon 5 of 6)","exon (NM_001173128, exon 5 of 6)",6541,NM_001172828,51441,Hs.532286,NM_001172828,ENSG00000198492,YTHDF2,HGRG8|NY-REN-2,"YTH domain family, member 2",protein-coding
B045_1-4_chr19_r_c327[k=33][m=8]_GGACA,chr19,3984311,3984311,-,8,NA,"exon (NM_001961, exon 2 of 15)","exon (NM_001961, exon 2 of 15)",-1150,NM_001961,1938,Hs.515070,XM_005259516,ENSG00000167658,EEF2,EEF-2|EF-2|EF2|SCA26,eukaryotic translation elongation factor 2,protein-coding
B045_1-4_chr16_f_c533[k=17][m=8]_GAACT,chr16,30078557,30078557,+,8,NA,"exon (NM_001243177, exon 3 of 10)","exon (NM_001243177, exon 3 of 10)",1563,NM_001243177,226,Hs.732822,XM_005255170,ENSG00000149925,ALDOA,ALDA|GSD12|HEL-S-87p,"aldolase A, fructose-bisphosphate",protein-coding
B045_1-4_chr2_f_c1396[k=16][m=8]_GGACA,chr2,216981524,216981524,+,8,NA,"exon (NM_021141, exon 3 of 21)","exon (NM_021141, exon 3 of 21)",7504,NM_021141,7520,Hs.388739,XM_005246836,ENSG00000079246,XRCC5,KARP-1|KARP1|KU80|KUB2|Ku86|NFIV,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining),protein-coding
B045_1-4_chr17_r_c725[k=20][m=8]_GGACT,chr17,42928633,42928633,-,8,NA,TTS (NM_016438),TTS (NM_016438),-3363,NM_016438,51751,Hs.287963,NM_001271880,ENSG00000131097,HIGD1B,CLST11240|CLST11240-15,"HIG1 hypoxia inducible domain family, member 1B",protein-coding
B045_1-4_chr17_f_c1147[k=20][m=8]_GGACA,chr17,79674413,79674413,+,8,NA,"3' UTR (NM_002949, exon 5 of 5)","3' UTR (NM_002949, exon 5 of 5)",4013,NM_002949,6182,Hs.109059,NM_002949,ENSG00000262814,MRPL12,5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12,mitochondrial ribosomal protein L12,protein-coding
B045_1-4_chr6_f_c433[k=16][m=8]_GGACA,chr6,33169268,33169268,+,8,NA,promoter-TSS (NM_021976).3,promoter-TSS (NM_021976).3,665,NM_006979,7922,Hs.631995,XM_005249406,ENSG00000112473,SLC39A7,D6S115E|D6S2244E|H2-KE4|HKE4|KE4|RING5|ZIP7,"solute carrier family 39 (zinc transporter), member 7",protein-coding
B045_1-4_chr17_r_c1295[k=21][m=8]_TGACA,chr17,79479349,79479349,-,8,NA,"exon (NM_001199954, exon 2 of 6)","exon (NM_001199954, exon 2 of 6)",-543,NR_037688,71,Hs.713764,NM_001199954,ENSG00000184009,ACTG1,ACT|ACTG|BRWS2|DFNA20|DFNA26,"actin, gamma 1",protein-coding
B045_1-4_chr8_f_c385[k=40][m=8]_GGACT,chr8,67342625,67342625,+,8,NA,"3' UTR (NM_015169, exon 1 of 1)","3' UTR (NM_015169, exon 1 of 1)",1362,NM_015169,23212,Hs.71827,NM_015169,ENSG00000179041,RRS1,0,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),protein-coding
B045_1-4_chr1_f_c1255[k=17][m=8]_GGACA,chr1,112309658,112309658,+,8,NA,"3' UTR (NM_007204, exon 11 of 11)","3' UTR (NM_007204, exon 11 of 11)",-11239,NM_198926,55924,Hs.193406,NM_019099,ENSG00000197852,FAM212B,C1orf183,"family with sequence similarity 212, member B",protein-coding
B045_1-4_chr4_f_c123[k=15][m=7]_GGACA,chr4,6644122,6644122,+,7,NA,"3' UTR (NM_033296, exon 2 of 2)","3' UTR (NM_033296, exon 2 of 2)",2304,NM_033296,93621,Hs.406590,NM_001272053,ENSG00000179010,MRFAP1,PAM14|PGR1,Morf4 family associated protein 1,protein-coding
B045_1-4_chr1_r_c2337[k=16][m=7]_GGACA,chr1,228582574,228582574,-,7,NA,"exon (NM_145214, exon 6 of 6)","exon (NM_145214, exon 6 of 6)",-2236,NR_106800,102465444,NR_106800,MIR6742,hsa-mir-6742,microRNA mir-6742,ncRNA,,
B045_1-4_chr8_r_c795[k=23][m=7]_AGACT,chr8,144898797,144898797,-,7,NA,"exon (NM_001271099, exon 11 of 11)","exon (NM_001271099, exon 11 of 11)",1248,NM_182706,23513,Hs.436329,XM_005250851,ENSG00000180900,SCRIB,CRIB1|SCRB1|SCRIB1|Vartul,scribbled planar cell polarity protein,protein-coding
B045_1-4_chr9_r_c844[k=15][m=7]_AAACT,chr9,136895875,136895875,-,7,NA,"non-coding (NR_015427, exon 3 of 3)","non-coding (NR_015427, exon 3 of 3)",-5314,NR_015427,266655,Hs.654869,NR_002800,LINC00094,LP2477|NCRNA00094|bA374P20.3,long intergenic non-protein coding RNA 94,ncRNA,
B045_1-4_chr19_r_c586[k=27][m=7]_AGACT,chr19,12841592,12841592,-,7,NA,"3' UTR (NM_024038, exon 3 of 3)","3' UTR (NM_024038, exon 3 of 3)",-3937,NM_024038,79002,Hs.515155,NM_024038,ENSG00000123144,C19orf43,fSAP18,chromosome 19 open reading frame 43,protein-coding
B045_1-4_chr21_f_c193[k=21][m=7]_GGACA,chr21,34926759,34926759,+,7,NA,"exon (NM_032195, exon 3 of 7)","exon (NM_032195, exon 3 of 7)",3791,NR_106756,102465248,NR_106756,MIR6501,hsa-mir-6501,microRNA mir-6501,ncRNA,,
B045_1-4_chr22_f_c339[k=24][m=7]_AGACT,chr22,38062666,38062666,+,7,NA,"3' UTR (NM_020315, exon 2 of 2)","3' UTR (NM_020315, exon 2 of 2)",7929,NM_020315,57026,Hs.632762,NM_020315,ENSG00000241360,PDXP,CIN|PLP|dJ37E16.5,"pyridoxal (pyridoxine, vitamin B6) phosphatase",protein-coding
B045_1-4_chr1_f_c1404[k=19][m=7]_GGACT,chr1,151220681,151220681,+,7,NA,"3' UTR (NM_001135637, exon 14 of 14)","3' UTR (NM_001135637, exon 14 of 14)",-6516,NM_002810,5710,Hs.505059,XM_005245354,ENSG00000159352,PSMD4,AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4",protein-coding
B045_1-4_chr19_r_c583[k=29][m=7]_GAACT,chr19,12817297,12817297,-,7,NA,promoter-TSS (NR_002751),promoter-TSS (NR_002751),-35,NR_002751,26810,NR_002751,SNORD41,RNU41|U41,"small nucleolar RNA, C/D box 41",snoRNA,,
B045_1-4_chr6_f_c542[k=18][m=7]_GAACT,chr6,41900339,41900339,+,7,NA,"exon (NM_004053, exon 7 of 7)","exon (NM_004053, exon 7 of 7)",9247,NM_001760,896,Hs.534307,XM_005249463,ENSG00000112576,CCND3,0,cyclin D3,protein-coding
B045_1-4_chr10_f_c662[k=68][m=7]_AGACT,chr10,98510668,98510668,+,7,NA,Intergenic,Intergenic,-30389,NM_152309,118788,Hs.310456,XM_005269498,ENSG00000155629,PIK3AP1,BCAP|RP11-34E5.3,phosphoinositide-3-kinase adaptor protein 1,protein-coding
B045_1-4_chr11_f_c559[k=46][m=7]_GGACT,chr11,62656003,62656003,+,7,NA,"exon (NM_002394, exon 12 of 12)","exon (NM_002394, exon 12 of 12)",6832,NR_037193,6520,Hs.502769,NM_001012662,ENSG00000168003,SLC3A2,4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE,"solute carrier family 3 (amino acid transporter heavy chain), member 2",protein-coding
B045_1-4_chr1_r_c1388[k=22][m=7]_GGACT,chr1,113460584,113460584,-,7,NA,"exon (NM_001166496, exon 4 of 5)","exon (NM_001166496, exon 4 of 5)",5388,NR_002796,246182,Hs.647691,NR_002796,AKR7A2P1,AFARP1,"aldo-keto reductase family 7, member A2 pseudogene 1",pseudo,
B045_1-4_chr6_f_c416[k=17][m=7]_AGACT,chr6,32944502,32944502,+,7,NA,"exon (NM_001199455, exon 6 of 13).2","exon (NM_001199455, exon 6 of 13).2",3641,NM_001199456,6046,Hs.75243,XM_005249263,ENSG00000204256,BRD2,D6S113E|FSH|FSRG1|NAT|RING3|RNF3,bromodomain containing 2,protein-coding
B045_1-4_chr7_f_c951[k=33][m=7]_GAACT,chr7,135359085,135359085,+,7,NA,"3' UTR (NM_001130929, exon 3 of 3)","3' UTR (NM_001130929, exon 3 of 3)",11864,NM_001130929,647087,Hs.200022,NM_001130929,C7orf73,PL-5283,chromosome 7 open reading frame 73,protein-coding,
B045_1-4_chr5_f_c339[k=38][m=7]_GGACT,chr5,68471279,68471279,+,7,NA,"exon (NM_031966, exon 7 of 9)","exon (NM_031966, exon 7 of 9)",8442,NM_031966,891,Hs.23960,XM_005248626,ENSG00000134057,CCNB1,CCNB,cyclin B1,protein-coding
B045_1-4_chr10_f_c58[k=46][m=7]_GGACT,chr10,6157636,6157636,+,7,NA,"3' UTR (NM_001145547, exon 12 of 12)","3' UTR (NM_001145547, exon 12 of 12)",26327,NM_001145547,84991,Hs.498548,NM_001145547,ENSG00000134453,RBM17,SPF45,RNA binding motif protein 17,protein-coding
B045_1-4_chr22_f_c214[k=47][m=7]_AGACT,chr22,30165861,30165861,+,7,NA,"3' UTR (NM_001003684, exon 2 of 2)","3' UTR (NM_001003684, exon 2 of 2)",2503,NM_001003684,29796,Hs.284292,NM_001003684,ENSG00000184076,UQCR10,HSPC051|HSPC151|QCR9|UCCR7.2|UCRC,"ubiquinol-cytochrome c reductase, complex III subunit X",protein-coding
B045_1-4_chrM_f_c40[k=378][m=7]_CAACC,chrM,1715,1715,+,7,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chrX_r_c411[k=111][m=7]_GAACT,chrX,73046703,73046703,-,7,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25885,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chrM_f_c31[k=171][m=7]_CTACC,chrM,1376,1376,+,7,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr2_r_c382[k=16][m=7]_GGACT,chr2,55277198,55277198,-,7,NA,promoter-TSS (NM_207521),promoter-TSS (NM_207521),-536,NM_207520,57142,Hs.637850,XM_005264434,ENSG00000115310,RTN4,ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C,reticulon 4,protein-coding
B045_1-4_chr1_r_c1623[k=54][m=7]_GGACT,chr1,153947091,153947091,-,7,NA,TTS (NM_130898),TTS (NM_130898),-3360,NM_006694,10899,Hs.6396,XM_005244850,ENSG00000143543,JTB,HJTB|HSPC222|PAR|hJT,jumping translocation breakpoint,protein-coding
B045_1-4_chr16_r_c911[k=27][m=7]_GCACG,chr16,85317814,85317814,-,7,NA,"intron (NR_038859, intron 1 of 2)",CpG,-1250,NR_038859,197196,Hs.679002,NR_038859,LINC00311,NCRNA00311|TMEM148,long intergenic non-protein coding RNA 311,ncRNA,
B045_1-4_chrX_r_c352[k=135][m=7]_AGACT,chrX,73040676,73040676,-,7,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-28636,NR_003255,9383,Hs.529901,NR_003255,ENSG00000270641,TSIX,LINC00013|NCRNA00013|XIST-AS|XIST-AS1|XISTAS,"TSIX transcript, XIST antisense RNA",ncRNA
B045_1-4_chrM_f_c17[k=88][m=7]_AAACA,chrM,816,816,+,7,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr4_f_c276[k=23][m=7]_GAACT,chr4,29751779,29751779,+,7,NA,Intergenic,Intergenic,930575,NR_036237,100422937,NR_036237,MIR4275,0,microRNA 4275,ncRNA,,
B045_1-4_chr3_f_c942[k=19][m=7]_GGACT,chr3,127391289,127391289,+,7,NA,promoter-TSS (NM_032548),promoter-TSS (NM_032548),-492,NM_032548,80325,Hs.107812,NM_032548,ENSG00000114626,ABTB1,BPOZ|BTB3|BTBD21|EF1ABP,ankyrin repeat and BTB (POZ) domain containing 1,protein-coding
B045_1-4_chr16_f_c505[k=21][m=7]_GGACG,chr16,29819014,29819014,+,7,NA,"exon (NM_002383, exon 2 of 5)","exon (NM_002383, exon 2 of 5)",1156,NM_001276276,4150,Hs.23650,NM_001042539,ENSG00000103495,MAZ,PUR1|Pur-1|SAF-1|SAF-2|SAF-3|ZF87|ZNF801|Zif87,MYC-associated zinc finger protein (purine-binding transcription factor),protein-coding
B045_1-4_chr16_f_c334[k=17][m=7]_GGACA,chr16,11444725,11444725,+,7,NA,"3' UTR (NM_152308, exon 2 of 2)","3' UTR (NM_152308, exon 2 of 2)",5414,NM_152308,116028,Hs.347524,NM_152308,ENSG00000175643,RMI2,BLAP18|C16orf75,RecQ mediated genome instability 2,protein-coding
B045_1-4_chr17_r_c1097[k=19][m=7]_AGACA,chr17,73269092,73269092,-,7,NA,TTS (NM_021734),TTS (NM_021734),-1712,NR_036520,100287042,Hs.735738,NR_036520,ENSG00000263843,LOC100287042,0,uncharacterized LOC100287042,ncRNA
B045_1-4_chr22_r_c468[k=23][m=7]_GGACT,chr22,41641737,41641737,-,7,NA,"3' UTR (NM_002883, exon 16 of 16)","3' UTR (NM_002883, exon 16 of 16)",4802,NM_138481,150356,Hs.344488,XM_005261370,ENSG00000100399,CHADL,SLRR4B,chondroadherin-like,protein-coding
B045_1-4_chrM_f_c58[k=234][m=7]_GAACC,chrM,2067,2067,+,7,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr1_f_c1833[k=31][m=7]_GGACA,chr1,201938779,201938779,+,7,NA,"3' UTR (NM_006335, exon 6 of 6)","3' UTR (NM_006335, exon 6 of 6)",-12987,NM_020216,6051,Hs.497391,XM_005245418,ENSG00000176393,RNPEP,0,arginyl aminopeptidase (aminopeptidase B),protein-coding
B045_1-4_chr2_r_c1562[k=36][m=7]_AGACT,chr2,241070330,241070330,-,7,NA,TTS (NM_001163424),TTS (NM_001163424),-5417,NM_001163424,150678,Hs.293884,NM_001163424,ENSG00000172428,MYEOV2,0,myeloma overexpressed 2,protein-coding
B045_1-4_chrX_r_c389[k=23][m=7]_GGACT,chrX,73045754,73045754,-,7,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-26834,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chrM_f_c93[k=409][m=7]_CAACA,chrM,2401,2401,+,7,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr13_r_c199[k=117][m=7]_TGACT,chr13,45911396,45911396,-,7,NA,TTS (NR_002967),TTS (NR_002967),-348,NR_002967,677814,Hs.374596,NR_002967,SNORA31,ACA31,"small nucleolar RNA, H/ACA box 31",snoRNA,
B045_1-4_chr14_f_c60[k=70][m=7]_ATACT,chr14,23794627,23794627,+,7,NA,"3' UTR (NM_001199864, exon 9 of 9)","3' UTR (NM_001199864, exon 9 of 9)",5230,NM_004643,8106,Hs.707712,NM_004643,PABPN1,OPMD|PAB2|PABII|PABP-2|PABP2,"poly(A) binding protein, nuclear 1",protein-coding,
B045_1-4_chr14_f_c391[k=150][m=7]_TAACT,chr14,70238189,70238189,+,7,NA,"3' UTR (NM_001039465, exon 8 of 8)","3' UTR (NM_001039465, exon 8 of 8)",-3759,NR_029378,100289511,Hs.729250,NR_029378,LOC100289511,0,uncharacterized LOC100289511,ncRNA,
B045_1-4_chr19_r_c1063[k=28][m=7]_GGACT,chr19,46190857,46190857,-,7,NA,"exon (NM_004597, exon 3 of 3)","exon (NM_004597, exon 3 of 3)",-4586,NM_004597,6633,Hs.515472,XM_005259180,ENSG00000125743,SNRPD2,SMD2|SNRPD1|Sm-D2,small nuclear ribonucleoprotein D2 polypeptide 16.5kDa,protein-coding
B045_1-4_chr11_f_c656[k=61][m=7]_GGACT,chr11,65267843,65267843,+,7,NA,"non-coding (NR_002819, exon 1 of 1)","non-coding (NR_002819, exon 1 of 1)",2610,NR_002819,378938,Hs.642877,XR_247199,ENSG00000251562,MALAT1,HCN|LINC00047|MALAT-1|NCRNA00047|NEAT2|PRO2853|mascRNA,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),ncRNA
B045_1-4_chr15_r_c447[k=29][m=7]_AAACT,chr15,75931647,75931647,-,7,NA,"3' UTR (NM_018285, exon 1 of 1)","3' UTR (NM_018285, exon 1 of 1)",-1017,NM_018285,55272,Hs.513043,XM_005254534,ENSG00000177971,IMP3,BRMS2|C15orf12|MRPS4,"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)",protein-coding
